,text,0,1
0,@TaraHeagele @enviRN Your work does the important job of emphasizing the vulnerability of our older loved ones in times of #disaster,0.8753333333333334,0.12466666666666668
1,Tada!! Here’s the 2-person #disaster #preparedness backpack heading over to mother-in-laws later today👍 https://t.co/15EC9jiAB7,0.8673333333333334,0.13266666666666668
2,If you missed Dr @TaraHeagele @enviRN presentation it’s not too late! Check out the ANHE YouTube channel cause you will find her #disaster #preparedness talk there waiting for you! https://t.co/YR2ppvR8LU,0.792,0.208
3,Arrived home from #MNRS2022 to find a 4-person #disaster kit arrived in the mail!! Thank you Dr. @TaraHeagele for your excellent @enviRN Research Wok Group presentation. It inspired me to purchase a better kit for our home &amp; for my parents &amp; mother-in-law https://t.co/oUvjKOZdQ3,0.8253333333333334,0.17466666666666666
4,"#India and #Turkmenistan signed four MoUs for cooperation in the fields of #disaster management, #Financial assistance, #culture and youth matters. The agreements were inked in the presence of President Ram Nath Kovind and President Serdar Berdimuhamedov. https://t.co/XosjnsW0cc",0.726,0.274
5,"https://t.co/whnHGonaas @dtptraffic @AAPDelhi @TransportDelhi @nitin_gadkari @indSupremeCourt Entire Delhi is now made BRT, where E-Ricks, TSRs, 2-Wheelers, Vikrams, BullockCarts will all now drive on both fast lanes @15kmph? #vinashkalevipreetbudhi #disaster #brainlessdecision",0.7743333333333333,0.22566666666666665
6,"Under the @HCL_Foundation funded project, #HAI together with @neadsjorhat, has constructed #disaster #resilient shelter in #Assam to be used for ICDS and health services during disasters. Since soil erosion is high, this #shelter can be dismantled and moved to other places. https://t.co/i8w928YiCU",0.7793333333333333,0.22066666666666665
7,"Please!!
I urge you to plant more and more trees to mitigate the effects of climate change.
Please save the soil.
#savesoil #initiative #climatechange #mitigate #disaster #degradation #ourplanet #ourresponsibility #quote",0.8463333333333334,0.15366666666666667
8,Why God Why? @StackOverflow #disaster #SOS #Doomsday_Is_Upon_Us https://t.co/QSTjTUbcnq,0.8063333333333333,0.19366666666666665
9,"ADB’s Deputy Country Director Asad Aleem &amp; experts at a Telemetry planning workshop on 31 March urged prioritizing real time flow data acquisition, &amp; aligning #disaster and #water management policies and plans to minimize #ClimateChange associated risks in #Pakistan. https://t.co/cDzhtz3qpE",0.854,0.146
